"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-8.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node8_128.110.153.189_solrj::rf16_s4_cluster8_dstat.csv",,,,"Date:","12 Dec 2019 03:10:30 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
12-12 03:10:30,1.127,0.174,98.687,0.012,0,583016448,63843737600,277090304,2479140864,3053.193,807405.661,0.235,4.389,0,0,56.727,50.721,51.777,1191.527,1615.001,0,3221221376,6,8,0,0,0
12-12 03:10:31,0,0.062,99.938,0,0,582799360,63843946496,277090304,2479153152,0,0,0,0,365,902,0,0,0,68,116,0,3221221376,6,8,0,0,0
12-12 03:10:32,0.063,0.063,99.875,0,0,583053312,63843692544,277090304,2479153152,0,0,0,0,126,334,0,0,0,80,126,0,3221221376,6,8,0,0,0
12-12 03:10:33,0.062,0.062,99.875,0,0,583045120,63843700736,277090304,2479153152,0,1499136,0,316,647,334,0,0,0,223,106,0,3221221376,6,8,0,0,0
12-12 03:10:34,0,0.125,99.875,0,0,583045120,63843700736,277090304,2479153152,0,172032,0,6,306,342,0,0,0,95,151,0,3221221376,6,8,0,0,0
12-12 03:10:35,0,0.063,99.937,0,0,583036928,63843708928,277090304,2479153152,0,0,0,0,245,342,0,0,0,51,87,0,3221221376,6,8,0,0,0
12-12 03:10:36,0.062,0.062,99.875,0,0,583036928,63843708928,277090304,2479153152,0,0,0,0,580,334,0,0,0,63,105,0,3221221376,6,8,0,0,0
12-12 03:10:37,0,0.125,99.875,0,0,583028736,63843717120,277090304,2479153152,0,0,0,0,819,334,0,0,0,91,129,0,3221221376,6,8,0,0,0
12-12 03:10:38,0.062,0.062,99.875,0,0,583155712,63843590144,277090304,2479153152,0,0,0,0,486,334,0,0,0,80,133,0,3221221376,6,8,0,0,0
12-12 03:10:39,0,0.063,99.937,0,0,583147520,63843598336,277090304,2479153152,0,0,0,0,879,334,0,0,0,82,118,0,3221221376,6,8,0,0,0
12-12 03:10:40,0,0.125,99.813,0.062,0,583147520,63843598336,277090304,2479153152,0,24576,0,4,591,438,0,0,0,79,118,0,3221221376,6,8,0,0,0
12-12 03:10:41,0.062,0.062,99.875,0,0,583147520,63843598336,277090304,2479153152,0,0,0,0,305,342,0,0,0,57,97,0,3221221376,6,8,0,0,0
12-12 03:10:42,0,0.063,99.937,0,0,583147520,63843598336,277090304,2479153152,0,0,0,0,426,334,0,0,0,98,148,0,3221221376,6,8,0,0,0
12-12 03:10:43,0.062,0.125,99.813,0,0,583155712,63843590144,277090304,2479153152,0,180224,0,38,725,334,0,0,0,86,100,0,3221221376,6,8,0,0,0
12-12 03:10:44,0,0.063,99.937,0,0,583155712,63843590144,277090304,2479153152,0,0,0,0,1343,342,0,0,0,82,115,0,3221221376,6,8,0,0,0
12-12 03:10:45,0,0.063,99.937,0,0,583155712,63843590144,277090304,2479153152,0,0,0,0,425,334,0,0,0,59,96,0,3221221376,6,8,0,0,0
12-12 03:10:46,0.062,0.062,99.875,0,0,583155712,63843590144,277090304,2479153152,0,24576,0,4,640,334,0,0,0,89,145,0,3221221376,6,8,0,0,0
12-12 03:10:47,0.062,0.062,99.875,0,0,583282688,63843463168,277090304,2479153152,0,0,0,0,425,342,0,0,0,81,121,0,3221221376,6,8,0,0,0
12-12 03:10:48,0,0.125,99.875,0,0,583274496,63843471360,277090304,2479153152,0,8192,0,2,426,334,0,0,0,64,99,0,3221221376,6,8,0,0,0
12-12 03:10:49,0,0.062,99.938,0,0,583274496,63843471360,277090304,2479153152,0,0,0,0,665,342,0,0,0,64,97,0,3221221376,6,8,0,0,0
12-12 03:10:50,0.062,0.062,99.875,0,0,583274496,63843471360,277090304,2479153152,0,0,0,0,940,334,0,0,0,95,137,0,3221221376,6,8,0,0,0
12-12 03:10:51,0,0.063,99.937,0,0,583274496,63843471360,277090304,2479153152,0,0,0,0,947,334,0,0,0,77,95,0,3221221376,6,8,0,0,0
12-12 03:10:52,0.062,0.125,99.812,0,0,583147520,63843598336,277090304,2479153152,0,24576,0,4,306,334,0,0,0,116,129,0,3221221376,6,8,0,0,0
12-12 03:10:53,0,0.062,99.938,0,0,583282688,63843463168,277090304,2479153152,0,1581056,0,288,485,342,0,0,0,215,98,0,3221221376,6,8,0,0,0
12-12 03:10:54,0,0.125,99.875,0,0,583274496,63843471360,277090304,2479153152,0,0,0,0,546,342,0,0,0,97,137,0,3221221376,6,8,0,0,0
12-12 03:10:55,0.062,0.062,99.875,0,0,583274496,63843471360,277090304,2479153152,0,0,0,0,939,334,0,0,0,68,101,0,3221221376,6,8,0,0,0
12-12 03:10:56,0,0.063,99.937,0,0,583270400,63843471360,277090304,2479157248,0,0,0,0,546,334,0,0,0,63,94,0,3221221376,6,8,0,0,0
12-12 03:10:57,0.062,0.062,99.875,0,0,583143424,63843598336,277090304,2479157248,0,0,0,0,605,334,0,0,0,84,124,0,3221221376,6,8,0,0,0
12-12 03:10:58,0,0.062,99.875,0.062,0,583139328,63843598336,277094400,2479157248,0,49152,0,6,246,394,0,0,0,84,137,0,3221221376,6,8,0,0,0
12-12 03:10:59,0.062,0.125,99.813,0,0,583139328,63843598336,277094400,2479157248,0,0,0,0,425,342,0,0,0,60,97,0,3221221376,6,8,0,0,0
12-12 03:11:00,0,0.063,99.937,0,0,583139328,63843598336,277094400,2479157248,0,0,0,0,546,334,0,0,0,60,91,0,3221221376,6,8,0,0,0
12-12 03:11:01,0.062,0.062,99.875,0,0,583139328,63843598336,277094400,2479157248,0,0,0,0,365,334,0,0,0,57,97,0,3221221376,6,8,0,0,0
12-12 03:11:02,0,0.063,99.937,0,0,583274496,63843463168,277094400,2479157248,0,0,0,0,246,334,0,0,0,95,153,0,3221221376,6,8,0,0,0
12-12 03:11:03,0.062,0.062,99.875,0,0,583147520,63843590144,277094400,2479157248,0,0,0,0,545,334,0,0,0,62,97,0,3221221376,6,8,0,0,0
12-12 03:11:04,0,0.125,99.875,0,0,583147520,63843590144,277094400,2479157248,0,65536,0,12,760,334,0,0,0,86,119,0,3221221376,6,8,0,0,0
12-12 03:11:05,0.062,0.062,99.875,0,0,583147520,63843590144,277094400,2479157248,0,0,0,0,425,342,0,0,0,63,95,0,3221221376,6,8,0,0,0
12-12 03:11:06,0,0.063,99.937,0,0,583139328,63843598336,277094400,2479157248,0,0,0,0,546,334,0,0,0,78,123,0,3221221376,6,8,0,0,0
12-12 03:11:07,0,0.125,99.875,0,0,583012352,63843725312,277094400,2479157248,0,0,0,0,1309,334,0,0,0,86,119,0,3221221376,6,8,0,0,0
12-12 03:11:08,0.062,0.062,99.875,0,0,583020544,63843717120,277094400,2479157248,0,0,0,0,486,334,0,0,0,61,93,0,3221221376,6,8,0,0,0
