"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-15.solr8.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output direct_128.110.153.170_dstat_traffic_gen.csv",,,,"Date:","04 Dec 2019 19:07:49 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
04-12 19:07:49,0.417,0.042,99.531,0.011,0,617209856,65864318976,259035136,516714496,1220.344,545641.255,0.072,2.691,0,0,5.702,9.659,6.166,326.015,640.943,0,3221221376,6,8,0,0,0
04-12 19:07:50,0,0,100,0,0,616992768,65864531968,259035136,516722688,0,0,0,0,1181,894,0,0,0,69,100,0,3221221376,6,8,0,0,0
04-12 19:07:51,0,0.125,99.875,0,0,616984576,65864540160,259035136,516722688,0,0,0,0,306,394,0,0,0,52,87,0,3221221376,6,8,0,0,0
04-12 19:07:52,0,0.125,99.875,0,0,616984576,65864540160,259035136,516722688,0,0,0,0,770,334,0,0,0,73,124,0,3221221376,6,8,0,0,0
04-12 19:07:53,0,0.063,99.937,0,0,616984576,65864540160,259035136,516722688,0,3203072,0,568,606,334,0,0,0,330,122,0,3221221376,6,8,0,0,0
04-12 19:07:54,0,0.125,99.875,0,0,617119744,65864404992,259035136,516722688,0,0,0,0,305,342,0,0,0,73,111,0,3221221376,6,8,0,0,0
04-12 19:07:55,0,0.125,99.875,0,0,616992768,65864531968,259035136,516722688,0,0,0,0,486,334,0,0,0,52,81,0,3221221376,6,8,0,0,0
04-12 19:07:56,0,0.063,99.937,0,0,616992768,65864531968,259035136,516722688,0,0,0,0,922,334,0,0,0,88,140,0,3221221376,6,8,0,0,0
04-12 19:07:57,0.062,0.187,99.750,0,0,617897984,65863626752,259035136,516722688,0,0,0,0,1593,1801,0,0,0,139,122,0,3221221376,6,9,0,0,0
04-12 19:07:58,0,0.125,99.875,0,0,617897984,65863626752,259035136,516722688,0,0,0,0,1169,334,0,0,0,63,89,0,3221221376,6,9,0,0,0
04-12 19:07:59,0,0.125,99.812,0.062,0,617897984,65863626752,259035136,516722688,0,24576,0,4,366,334,0,0,0,85,121,0,3221221376,6,9,0,0,0
04-12 19:08:00,0,0.125,99.875,0,0,617897984,65863626752,259035136,516722688,0,0,0,0,1222,402,0,0,0,83,123,0,3221221376,6,9,0,0,0
04-12 19:08:01,0,0.063,99.937,0,0,617897984,65863626752,259035136,516722688,0,0,0,0,1103,334,0,0,0,64,91,0,3221221376,6,9,0,0,0
04-12 19:08:02,0.125,0.125,99.750,0,0,617889792,65863634944,259035136,516722688,0,0,0,0,905,746,0,0,0,65,91,0,3221221376,6,9,0,0,0
04-12 19:08:03,0,0.125,99.875,0,0,617889792,65863634944,259035136,516722688,0,0,0,0,126,394,0,0,0,47,77,0,3221221376,6,9,0,0,0
04-12 19:08:04,0,0.125,99.875,0,0,617889792,65863634944,259035136,516722688,0,8192,0,2,700,334,0,0,0,96,134,0,3221221376,6,9,0,0,0
04-12 19:08:05,0,0.063,99.937,0,0,617889792,65863634944,259035136,516722688,0,24576,0,4,1257,342,0,0,0,80,116,0,3221221376,6,9,0,0,0
04-12 19:08:06,0,0.125,99.875,0,0,617889792,65863634944,259035136,516722688,0,0,0,0,245,342,0,0,0,57,89,0,3221221376,6,9,0,0,0
04-12 19:08:07,0,0.187,99.813,0,0,616857600,65864667136,259035136,516722688,0,0,0,0,378,537,0,0,0,160,126,0,3221221376,6,8,0,0,0
04-12 19:08:08,0,0.063,99.937,0,0,616857600,65864667136,259035136,516722688,0,0,0,0,485,334,0,0,0,73,115,0,3221221376,6,8,0,0,0
04-12 19:08:09,0,0.125,99.875,0,0,616857600,65864667136,259035136,516722688,0,0,0,0,426,334,0,0,0,73,105,0,3221221376,6,8,0,0,0
04-12 19:08:10,0,0.063,99.937,0,0,616857600,65864667136,259035136,516722688,0,278528,0,66,640,334,0,0,0,82,93,0,3221221376,6,8,0,0,0
04-12 19:08:11,0,0.125,99.813,0.062,0,616857600,65864667136,259035136,516722688,0,57344,0,4,306,342,0,0,0,59,92,0,3221221376,6,8,0,0,0
04-12 19:08:12,0,0.125,99.875,0,0,616857600,65864667136,259035136,516722688,0,0,0,0,639,342,0,0,0,71,117,0,3221221376,6,8,0,0,0
04-12 19:08:13,0,0.063,99.937,0,0,616857600,65864667136,259035136,516722688,0,0,0,0,546,334,0,0,0,54,76,0,3221221376,6,8,0,0,0
