"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node2_128.110.153.240_direct::rf32_s2_cluster16_dstat.csv",,,,"Date:","12 Dec 2019 00:19:40 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
12-12 00:19:40,6.184,0.331,93.458,0.027,0,7212306432,53366157312,310595584,6205874176,3162.494,2013810.605,0.244,8.067,0,0,158.879,139.938,135.718,3075.756,3636.024,0,3221221376,12,139,44,16,0
12-12 00:19:41,0.062,0.125,99.813,0,0,7211462656,53366996992,310595584,6205882368,0,0,0,0,530,1764,1,0,0,142,251,0,3221221376,12,139,45,16,0
12-12 00:19:42,0,0.125,99.875,0,0,7211454464,53367005184,310595584,6205882368,0,0,0,0,5282,4694,7,0,0,206,348,0,3221221376,12,139,45,16,0
12-12 00:19:43,0,0.125,99.875,0,0,7211446272,53367013376,310595584,6205882368,0,0,0,0,902,1056,1,0,0,147,259,0,3221221376,12,139,45,16,0
12-12 00:19:44,0,0.125,99.875,0,0,7211446272,53367013376,310595584,6205882368,0,212992,0,6,3003,3070,3,0,0,170,312,0,3221221376,12,139,44,16,0
12-12 00:19:45,0.062,0.125,99.812,0,0,7211446272,53367013376,310595584,6205882368,0,0,0,0,5082,3850,7,3,0,198,355,0,3221221376,12,139,44,16,0
12-12 00:19:46,0.063,0.125,99.812,0,0,7211573248,53366886400,310595584,6205882368,0,0,0,0,4861,3934,5,0,0,209,336,0,3221221376,12,139,43,14,0
12-12 00:19:47,0,0.125,99.875,0,0,7211708416,53366751232,310595584,6205882368,0,0,0,0,1148,1530,1,0,0,174,271,0,3221221376,12,139,43,14,0
12-12 00:19:48,0.062,0.125,99.812,0,0,7211700224,53366759424,310595584,6205882368,0,0,0,0,1661,1712,5,0,0,154,258,0,3221221376,12,139,41,13,0
