"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-38.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node38_128.110.153.170_direct::rf32_s2_cluster16_dstat.csv",,,,"Date:","12 Dec 2019 00:19:40 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
12-12 00:19:40,0.382,0.148,99.468,0.003,0,997208064,64208642048,233062400,1824411648,3136.472,243789.403,0.243,4.445,0,0,5.731,5.616,5.443,216.381,1997.005,0,3221221376,10,10,0,0,0
12-12 00:19:41,4.234,2.677,93.088,0,0,995520512,64268521472,233062400,1766309888,0,0,0,0,1350,2615,0,0,0,633,430,0,3221221376,10,9,0,0,0
12-12 00:19:42,5.191,2.564,92.245,0,0,996642816,64267399168,233062400,1766313984,0,0,0,0,4342,3801,0,0,0,873,632,0,3221221376,10,10,0,0,0
12-12 00:19:43,4.682,2.497,92.821,0,0,995639296,64268943360,233062400,1765765120,0,0,0,0,1528,2285,0,0,0,809,463,0,3221221376,10,9,0,0,0
12-12 00:19:44,4.065,2.251,93.684,0,0,995639296,64268943360,233062400,1765765120,0,1941504,0,430,527,350,0,0,0,544,176,0,3221221376,10,9,0,0,0
12-12 00:19:45,4.065,2.251,93.621,0.063,0,995635200,64268943360,233066496,1765765120,0,270336,0,6,1034,588,0,0,0,362,179,0,3221221376,10,9,0,0,0
12-12 00:19:46,4.312,2,93.688,0,0,995635200,64268943360,233066496,1765765120,0,0,0,0,759,358,0,0,0,373,209,0,3221221376,10,9,0,0,0
12-12 00:19:47,4.375,2,93.625,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,804,700,0,0,0,346,151,0,3221221376,10,9,0,0,0
12-12 00:19:48,4.065,2.251,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,485,350,0,0,0,337,143,0,3221221376,10,9,0,0,0
12-12 00:19:49,4.062,2.312,93.625,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,478,580,0,0,0,343,151,0,3221221376,10,9,0,0,0
12-12 00:19:50,4.253,2.064,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,545,350,0,0,0,356,177,0,3221221376,10,9,0,0,0
12-12 00:19:51,4.065,2.251,93.684,0,0,995610624,64268967936,233066496,1765765120,0,24576,0,4,820,350,0,0,0,366,185,0,3221221376,10,9,0,0,0
12-12 00:19:52,4.312,2.062,93.625,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,1112,588,0,0,0,349,153,0,3221221376,10,9,0,0,0
12-12 00:19:53,3.942,2.315,93.742,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,486,350,0,0,0,338,144,0,3221221376,10,9,0,0,0
12-12 00:19:54,3.808,2.622,93.571,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,485,454,0,0,0,363,194,0,3221221376,10,9,0,0,0
12-12 00:19:55,4.190,2.126,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,246,350,0,0,0,329,135,0,3221221376,10,9,0,0,0
12-12 00:19:56,3.940,2.376,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,957,580,0,0,0,358,171,0,3221221376,10,9,0,0,0
12-12 00:19:57,4.250,2.125,93.625,0,0,995610624,64268967936,233066496,1765765120,0,24576,0,4,700,350,0,0,0,353,159,0,3221221376,10,9,0,0,0
12-12 00:19:58,4.253,2.064,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,1977,358,0,0,0,383,193,0,3221221376,10,9,0,0,0
12-12 00:19:59,4.003,2.314,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,812,580,0,0,0,354,163,0,3221221376,10,9,0,0,0
12-12 00:20:00,4.190,2.126,93.684,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,245,350,0,0,0,331,139,0,3221221376,10,9,0,0,0
12-12 00:20:01,4.125,2.250,93.625,0,0,995610624,64268967936,233066496,1765765120,0,0,0,0,246,350,0,0,0,345,165,0,3221221376,10,9,0,0,0
12-12 00:20:02,4.312,2.125,93.500,0.062,0,995643392,64268935168,233066496,1765765120,0,90112,0,8,717,580,0,0,0,472,296,0,3221221376,10,9,0,0,0
12-12 00:20:03,4.506,1.752,93.742,0,0,995643392,64268935168,233066496,1765765120,0,0,0,0,126,358,0,0,0,330,138,0,3221221376,10,9,0,0,0
12-12 00:20:04,4.125,2.250,93.625,0,0,995643392,64268935168,233066496,1765765120,0,0,0,0,425,350,0,0,0,350,160,0,3221221376,10,9,0,0,0
12-12 00:20:05,4.125,2.188,93.688,0,0,995639296,64268935168,233066496,1765769216,0,0,0,0,640,350,0,0,0,341,153,0,3221221376,10,9,0,0,0
12-12 00:20:06,4,2.375,93.625,0,0,995639296,64268935168,233066496,1765769216,0,0,0,0,537,580,0,0,0,369,204,0,3221221376,10,9,0,0,0
12-12 00:20:07,4.068,2.253,93.680,0,0,995639296,64268935168,233066496,1765769216,0,106496,0,6,246,350,0,0,0,343,157,0,3221221376,10,9,0,0,0
12-12 00:20:08,4.375,1.938,93.688,0,0,995639296,64268935168,233066496,1765769216,0,0,0,0,587,358,0,0,0,343,159,0,3221221376,10,9,0,0,0
12-12 00:20:09,3.875,2.500,93.625,0,0,995639296,64268935168,233066496,1765769216,0,0,0,0,598,580,0,0,0,341,149,0,3221221376,10,9,0,0,0
12-12 00:20:10,4.065,2.251,93.684,0,0,995631104,64268943360,233066496,1765769216,0,0,0,0,890,350,0,0,0,364,197,0,3221221376,10,9,0,0,0
12-12 00:20:11,4.315,2.001,93.684,0,0,995631104,64268943360,233066496,1765769216,0,0,0,0,486,350,0,0,0,350,169,0,3221221376,10,9,0,0,0
12-12 00:20:12,3.940,2.376,93.684,0,0,995631104,64268943360,233066496,1765769216,0,0,0,0,819,580,0,0,0,346,153,0,3221221376,10,9,0,0,0
12-12 00:20:13,4.125,2.188,93.625,0.062,0,995631104,64268943360,233066496,1765769216,0,24576,0,4,532,700,0,0,0,355,166,0,3221221376,10,9,0,0,0
12-12 00:20:14,4.003,2.376,93.621,0,0,995512320,64269062144,233066496,1765769216,0,0,0,0,725,558,0,0,0,408,223,0,3221221376,10,9,0,0,0
12-12 00:20:15,4.128,2.189,93.684,0,0,995512320,64269062144,233066496,1765769216,0,278528,0,48,246,350,0,0,0,408,163,0,3221221376,10,9,0,0,0
12-12 00:20:16,4.253,2.064,93.684,0,0,995512320,64269062144,233066496,1765769216,0,0,0,0,657,588,0,0,0,362,174,0,3221221376,10,9,0,0,0
12-12 00:20:17,4,2.312,93.688,0,0,995504128,64269070336,233066496,1765769216,0,0,0,0,246,350,0,0,0,333,145,0,3221221376,10,9,0,0,0
12-12 00:20:18,4,2.375,93.625,0,0,995504128,64269070336,233066496,1765769216,0,0,0,0,545,350,0,0,0,355,181,0,3221221376,10,9,0,0,0
12-12 00:20:19,4.375,2,93.625,0,0,995500032,64269070336,233070592,1765769216,0,32768,0,4,1060,580,0,0,0,358,165,0,3221221376,10,9,0,0,0
12-12 00:20:20,6.242,2.684,91.074,0,0,995602432,64268967936,233070592,1765769216,0,106496,0,8,6551,5370,0,0,0,1384,926,0,3221221376,10,9,0,0,0
12-12 00:20:21,5.761,2.442,91.797,0,0,996405248,64268165120,233070592,1765773312,0,0,0,0,5585,5822,0,0,0,1302,898,0,3221221376,10,9,0,0,0
12-12 00:20:22,3.752,2.564,93.684,0,0,995393536,64269176832,233070592,1765769216,0,0,0,0,1386,580,0,0,0,426,240,0,3221221376,10,9,0,0,0
12-12 00:20:23,3.938,2.438,93.625,0,0,995393536,64269176832,233070592,1765769216,0,0,0,0,186,350,0,0,0,335,148,0,3221221376,10,9,0,0,0
12-12 00:20:24,4.378,1.939,93.684,0,0,995393536,64269176832,233070592,1765769216,0,0,0,0,880,350,0,0,0,352,169,0,3221221376,10,9,0,0,0
12-12 00:20:25,4.065,2.251,93.684,0,0,995393536,64269176832,233070592,1765769216,0,1720320,0,386,306,350,0,0,0,530,146,0,3221221376,10,9,0,0,0
12-12 00:20:26,4.062,2.250,93.625,0.062,0,995385344,64269185024,233070592,1765769216,0,90112,0,4,417,588,0,0,0,377,214,0,3221221376,10,9,0,0,0
12-12 00:20:27,4.253,2.189,93.558,0,0,996020224,64268550144,233070592,1765769216,0,0,0,0,539,1759,0,0,0,430,177,0,3221221376,10,10,0,0,0
12-12 00:20:28,4.190,2.251,93.558,0,0,996544512,64268025856,233070592,1765769216,0,0,0,0,1575,1329,0,0,0,396,233,0,3221221376,10,10,0,0,0
12-12 00:20:29,4.003,2.314,93.684,0,0,995274752,64269295616,233070592,1765769216,0,0,0,0,668,958,0,0,0,457,198,0,3221221376,10,9,0,0,0
12-12 00:20:30,3.877,2.439,93.684,0,0,995274752,64269295616,233070592,1765769216,0,0,0,0,819,350,0,0,0,361,185,0,3221221376,10,9,0,0,0
12-12 00:20:31,3.815,2.502,93.684,0,0,995258368,64269312000,233070592,1765769216,0,0,0,0,648,350,0,0,0,353,179,0,3221221376,10,9,0,0,0
12-12 00:20:32,4.375,2,93.625,0,0,995258368,64269312000,233070592,1765769216,0,65536,0,4,1205,580,0,0,0,363,178,0,3221221376,10,9,0,0,0
12-12 00:20:33,4.190,2.126,93.684,0,0,995258368,64269312000,233070592,1765769216,0,0,0,0,828,358,0,0,0,344,151,0,3221221376,10,9,0,0,0
12-12 00:20:34,3.812,2.562,93.625,0,0,995258368,64269312000,233070592,1765769216,0,0,0,0,305,350,0,0,0,360,189,0,3221221376,10,9,0,0,0
