"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-18.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node18_128.110.153.230_direct::rf4_s1_cluster2_dstat.csv",,,,"Date:","16 Dec 2019 11:09:44 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
16-12 11:09:44,0.513,0.127,99.357,0.003,0,924139520,63016325120,281059328,2955223040,1417.489,227790.865,0.110,3.897,0,0,12.571,12.374,12.881,357.183,3075.937,0,3221221376,6,9,0,0,0
16-12 11:09:45,1.440,0.626,97.934,0,0,923975680,63016497152,281059328,2955210752,0,0,0,0,6256,6616,0,0,0,1043,940,0,3221221376,6,9,0,0,0
16-12 11:09:46,0.187,0.125,99.688,0,0,922095616,63018500096,281059328,2955083776,0,0,0,0,2449,2306,4,0,0,250,373,0,3221221376,6,8,0,0,0
16-12 11:09:47,0,0.125,99.875,0,0,922095616,63018500096,281059328,2955083776,0,0,0,0,2048,927,0,3,0,134,204,0,3221221376,6,8,0,0,0
16-12 11:09:48,0,0.062,99.938,0,0,922087424,63018508288,281059328,2955083776,0,0,0,0,850,927,0,1,0,94,146,0,3221221376,6,8,0,0,0
16-12 11:09:49,0,0.063,99.937,0,0,922087424,63018508288,281059328,2955083776,0,835584,0,10,969,927,0,0,0,108,159,0,3221221376,6,8,0,0,0
16-12 11:09:50,0,0.125,99.875,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1184,995,0,0,3,118,181,0,3221221376,6,8,0,0,0
16-12 11:09:51,0,0.063,99.937,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,425,334,0,0,0,91,163,0,3221221376,6,8,0,0,0
16-12 11:09:52,0,0.125,99.875,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,2070,1520,0,0,5,125,175,0,3221221376,6,8,0,0,0
16-12 11:09:53,0,0.062,99.938,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1149,927,0,0,0,102,142,0,3221221376,6,8,0,0,0
16-12 11:09:54,0,0.063,99.937,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,366,334,0,0,0,76,134,0,3221221376,6,8,0,0,0
16-12 11:09:55,0,0.187,99.750,0.062,0,922071040,63018524672,281059328,2955083776,0,2146304,0,458,2117,2113,0,0,4,413,267,0,3221221376,6,8,0,0,0
16-12 11:09:56,0,0.063,99.937,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1132,943,0,0,0,124,164,0,3221221376,6,8,0,0,0
16-12 11:09:57,0,0.125,99.875,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1833,927,0,0,4,109,155,0,3221221376,6,8,0,0,0
16-12 11:09:58,0,0.063,99.937,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1030,927,0,0,0,98,145,0,3221221376,6,8,0,0,0
16-12 11:09:59,0,0.063,99.937,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,789,927,0,0,0,105,173,0,3221221376,6,8,0,0,0
16-12 11:10:00,0,0.125,99.875,0,0,922071040,63018524672,281059328,2955083776,0,0,0,0,1454,1520,0,4,0,130,185,0,3221221376,6,8,0,0,0
16-12 11:10:01,0.125,0.062,99.750,0.062,0,922071040,63018524672,281059328,2955083776,0,114688,0,12,939,394,0,0,0,191,243,0,3221221376,6,8,0,0,0
16-12 11:10:02,0,0.063,99.937,0,0,922341376,63018254336,281059328,2955083776,0,0,0,0,1334,1528,0,0,0,129,175,0,3221221376,6,8,0,0,0
16-12 11:10:03,0,0.125,99.875,0,0,922333184,63018262528,281059328,2955083776,0,0,0,0,1209,927,0,0,0,111,169,0,3221221376,6,8,0,0,0
16-12 11:10:04,0,0.063,99.937,0,0,922333184,63018262528,281059328,2955083776,0,0,0,0,641,334,0,0,0,80,132,0,3221221376,6,8,0,0,0
16-12 11:10:05,0,0.063,99.937,0,0,922324992,63018270720,281059328,2955083776,0,0,0,0,1573,1520,4,0,0,143,199,0,3221221376,6,8,0,0,0
16-12 11:10:06,0,0.125,99.875,0,0,922316800,63018278912,281059328,2955083776,0,0,0,0,1090,927,0,3,0,100,148,0,3221221376,6,8,0,0,0
16-12 11:10:07,0,0.063,99.937,0,0,922316800,63018278912,281059328,2955083776,0,90112,0,4,819,334,0,0,0,127,181,0,3221221376,6,8,0,0,0
16-12 11:10:08,0,0.063,99.937,0,0,922316800,63018278912,281059328,2955083776,0,0,0,0,2318,1528,0,1,0,142,175,0,3221221376,6,8,0,0,0
16-12 11:10:09,0,0.125,99.875,0,0,922316800,63018278912,281059328,2955083776,0,0,0,0,969,927,0,0,4,92,135,0,3221221376,6,8,0,0,0
