"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-21.solr8.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output solrj_128.110.153.217_dstat_traffic_gen.csv",,,,"Date:","05 Dec 2019 15:40:01 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
05-12 15:40:01,2.719,0.209,97.070,0.002,0,703860736,65347702784,207978496,1038360576,1159.577,119870.974,0.059,5.640,0,0,32.123,31.953,32.295,792.537,4151.631,0,3221221376,10,10,0,1,0
05-12 15:40:02,0.062,0.187,99.750,0,0,702607360,65348984832,207978496,1038344192,0,0,0,0,2259,2146,0,0,0,229,381,0,3221221376,10,9,0,1,0
05-12 15:40:03,1.438,0.750,97.812,0,0,704491520,65347096576,207978496,1038356480,0,0,0,0,5031,4656,0,0,0,909,709,0,3221221376,10,10,0,1,0
05-12 15:40:04,0.125,0.063,99.812,0,0,704733184,65346854912,207978496,1038356480,0,327680,0,16,20273,3576,0,0,0,294,379,0,3221221376,10,10,0,1,0
05-12 15:40:05,1.188,0.562,98.250,0,0,704385024,65347203072,207978496,1038360576,0,2433024,0,480,5433,4524,0,0,0,861,807,0,3221221376,10,10,0,1,0
05-12 15:40:06,0.876,0.563,98.373,0.188,0,707317760,65344253952,207978496,1038356480,0,712704,0,133,27696,6060,0,0,0,961,919,0,3221221376,10,10,0,1,0
05-12 15:40:07,1.312,0.500,98.188,0,0,703205376,65348497408,207978496,1038221312,0,0,0,0,2165,2598,0,0,0,651,621,0,3221221376,10,9,0,1,0
05-12 15:40:08,0,0.063,99.937,0,0,703205376,65348497408,207978496,1038217216,0,0,0,0,947,358,0,0,0,95,151,0,3221221376,10,9,0,1,0
05-12 15:40:09,0,0.125,99.875,0,0,703205376,65348497408,207978496,1038217216,0,0,0,0,426,334,0,0,0,82,135,0,3221221376,10,9,0,1,0
05-12 15:40:10,0,0.125,99.875,0,0,703205376,65348497408,207978496,1038217216,0,0,0,0,185,334,0,0,0,78,144,0,3221221376,10,9,0,1,0
05-12 15:40:11,0.062,0.062,99.875,0,0,703197184,65348505600,207978496,1038217216,0,0,0,0,538,564,0,0,0,113,222,0,3221221376,10,9,0,1,0
05-12 15:40:12,0,0.125,99.875,0,0,703188992,65348513792,207978496,1038217216,0,204800,0,4,1623,334,0,0,0,152,197,0,3221221376,10,9,0,1,0
05-12 15:40:13,0,0.063,99.937,0,0,703123456,65348579328,207978496,1038217216,0,0,0,0,701,410,0,0,0,83,137,0,3221221376,10,9,0,1,0
05-12 15:40:14,0,0.125,99.875,0,0,703123456,65348579328,207978496,1038217216,0,0,0,0,1231,564,0,0,0,98,188,0,3221221376,10,9,0,1,0
05-12 15:40:15,0.063,0.188,99.750,0,0,703123456,65348579328,207978496,1038217216,0,0,0,0,588,334,0,0,0,298,435,0,3221221376,10,9,0,1,0
05-12 15:40:16,0,0.063,99.937,0,0,702615552,65349087232,207978496,1038217216,0,0,0,0,1376,334,0,0,0,120,192,0,3221221376,10,9,0,1,0
05-12 15:40:17,0,0.125,99.875,0,0,702615552,65349087232,207978496,1038217216,0,0,0,0,820,564,0,0,0,88,197,0,3221221376,10,9,0,1,0
05-12 15:40:18,0,0.125,99.812,0.062,0,702607360,65349095424,207978496,1038217216,0,65536,0,4,365,334,0,0,0,98,163,0,3221221376,10,9,0,1,0
05-12 15:40:19,0,0.063,99.937,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,1384,350,0,0,0,114,185,0,3221221376,10,9,0,1,0
05-12 15:40:20,0,0.063,99.937,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,1102,334,0,0,0,92,148,0,3221221376,10,9,0,1,0
05-12 15:40:21,0,0.125,99.875,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,1436,564,0,0,0,92,179,0,3221221376,10,9,0,1,0
05-12 15:40:22,0.062,0.125,99.813,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,827,334,0,0,0,93,152,0,3221221376,10,9,0,1,0
05-12 15:40:23,0,0.063,99.937,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,520,334,0,0,0,97,173,0,3221221376,10,9,0,1,0
05-12 15:40:24,0.062,0.125,99.813,0,0,702607360,65349095424,207978496,1038217216,0,24576,0,4,1221,564,0,0,0,108,183,0,3221221376,10,9,0,1,0
05-12 15:40:25,0,0.125,99.875,0,0,702607360,65349095424,207978496,1038217216,0,0,0,0,1108,700,0,0,0,97,153,0,3221221376,10,9,0,1,0
05-12 15:40:26,0,0.063,99.937,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,1007,334,0,0,0,89,145,0,3221221376,10,9,0,1,0
05-12 15:40:27,0.062,0.125,99.813,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,1206,564,0,0,0,116,234,0,3221221376,10,9,0,1,0
05-12 15:40:28,0,0.125,99.875,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,1786,394,0,0,0,113,167,0,3221221376,10,9,0,1,0
05-12 15:40:29,0,0.062,99.938,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,306,334,0,0,0,78,135,0,3221221376,10,9,0,1,0
05-12 15:40:30,0,0.063,99.937,0,0,702603264,65349095424,207978496,1038221312,0,57344,0,6,485,334,0,0,0,92,153,0,3221221376,10,9,0,1,0
05-12 15:40:31,0.062,0.125,99.813,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,598,580,0,0,0,102,217,0,3221221376,10,9,0,1,0
05-12 15:40:32,0,0.063,99.937,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,1391,334,0,0,0,98,157,0,3221221376,10,9,0,1,0
05-12 15:40:33,0,0.125,99.875,0,0,702603264,65349095424,207978496,1038221312,0,0,0,0,1599,334,0,0,0,105,163,0,3221221376,10,9,0,1,0
